date,well_name,licence_number,mineral_rights,ground_elevation,unique_identifier,surface_coordinates,aer_field_centre,projected_depth,aer_classification,field,terminating_zone,drilling_operation,well_purpose,well_type,substance,licensee,surface_location
04 April 2023,BEC HZ EDSON 1-1-50-18,0508908,ALBERTA CROWN,1047.4M,100/01-01-050-18W5/00  N  299.7M  W,282.9M,DRAYTON VALLEY,6100.0M,DEV (NC),EDSON,WILRICH MBR,HORIZONTAL,NEW,PRODUCTION,GAS,BONAVISTA ENERGY CORPORATION,01-13-050-18W5
04 April 2023,SURGE ENERGY INC 3 PROVOST 7-24-39-3,0508909,BOTH,672M,103/07-24-039-03W4/00  N  684.3M  W,320.0M,WAINWRIGHT,2550.0M,DEV (NC),PROVOST,SPARKY MBR,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,SURGE ENERGY INC.,08-13-039-03W4
04 April 2023,SURGE ENERGY INC 4 PROVOST 7-24-39-3,0508910,BOTH,672.3M,104/07-24-039-03W4/00  N  699.3M  W,320.0M,WAINWRIGHT,2420.0M,DEV (NC),PROVOST,SPARKY MBR,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,SURGE ENERGY INC.,08-13-039-03W4
04 April 2023,SURGE ENERGY INC 2 PROVOST 8-24-39-3,0508911,BOTH,671.7M,102/08-24-039-03W4/00  N  669.3M  W,320.0M,WAINWRIGHT,2400.0M,DEV (NC),PROVOST,SPARKY MBR,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,SURGE ENERGY INC.,08-13-039-03W4
04 April 2023,SURGE ENERGY INC 3 PROVOST 8-24-39-3,0508912,BOTH,671.3M,103/08-24-039-03W4/00  N  654.3M  W,320.0M,WAINWRIGHT,2500.0M,DEV (NC),PROVOST,SPARKY MBR,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,SURGE ENERGY INC.,08-13-039-03W4
04 April 2023,HWX 9-36 HZ 104 MARTENH 12-32-74-24,0508913,ALBERTA CROWN,690.5M,104/12-32-074-24W4/00  S  760.1M  W,225.8M,SLAVE LAKE,4000.0M,DEV (NC),MARTEN HILLS,CLEARWATER FM,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,HEADWATER EXPLORATION INC.,09-36-074-25W4
04 April 2023,HWX 9-36 HZ 102 MARTENH 13-32-74-24,0508914,ALBERTA CROWN,690.5M,102/13-32-074-24W4/00  S  770.1M  W,225.4M,SLAVE LAKE,4000.0M,DEV (NC),MARTEN HILLS,CLEARWATER FM,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,HEADWATER EXPLORATION INC.,09-36-074-25W4
04 April 2023,HWX 9-36 HZ 102 MARTENH 4-32-74-24,0508915,ALBERTA CROWN,690.5M,102/04-32-074-24W4/00  S  759.7M  W,213.8M,SLAVE LAKE,4000.0M,DEV (NC),MARTEN HILLS,CLEARWATER FM,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,HEADWATER EXPLORATION INC.,09-36-074-25W4
04 April 2023,HWX 9-36 HZ 104 MARTENH 1-31-74-24,0508916,ALBERTA CROWN,690.5M,104/01-31-074-24W4/00  S  769.6M  W,213.4M,SLAVE LAKE,4000.0M,DEV (NC),MARTEN HILLS,CLEARWATER FM,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,HEADWATER EXPLORATION INC.,09-36-074-25W4
04 April 2023,HWX 9-36 HZ 102 MARTENH 13-5-75-24,0508917,ALBERTA CROWN,690.5M,102/13-05-075-24W4/00  S  759.2M  W,201.8M,SLAVE LAKE,4000.0M,DEV (NC),MARTEN HILLS,CLEARWATER FM,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,HEADWATER EXPLORATION INC.,09-36-074-25W4
04 April 2023,HWX 9-36 HZ MARTENH 14-5-75-24,0508918,ALBERTA CROWN,690.5M,100/14-05-075-24W4/00  S  769.2M  W,201.4M,SLAVE LAKE,4000.0M,DEV (NC),MARTEN HILLS,CLEARWATER FM,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,HEADWATER EXPLORATION INC.,09-36-074-25W4
04 April 2023,1852797 ALBERTA HZ SENEX 1-5-95-3,0508919,ALBERTA CROWN,639M,100/01-05-095-03W5/00  N  396.7M  E,715.8M,SLAVE LAKE,2200.0M,DEV (C),SENEX,KEG RIVER FM,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,1852797 ALBERTA ULC,03-04-095-03W5
04 April 2023,SPL 12-3 HZ MCLEOD LAKE 12-34-79-2,0508920,ALBERTA CROWN,600.1M,100/12-34-079-02W5/00  S  443.2M  E,182.3M,SLAVE LAKE,2600.0M,DEV (NC),UNDEFINED,CLEARWATER FM,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,SPUR PETROLEUM LTD.,12-03-080-02W5
04 April 2023,SPL 12-3 102 MCLEOD LAKE 12-34-79-2,0508921,ALBERTA CROWN,600.5M,102/12-34-079-02W5/00  S  442.8M  E,172.4M,SLAVE LAKE,2650.0M,DEV (NC),UNDEFINED,CLEARWATER FM,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,SPUR PETROLEUM LTD.,12-03-080-02W5
