MEG DD8P HARDY 16-12-77-5,0488751,ALBERTA CROWN,576.4M,106/16-12-077-05W4/02  S  488.4M  E,611.2M,BONNYVILLE,1430.0M,DEV (NC),HARDY,MCMURRAY FM,HORIZONTAL,RESUMPTION,PRODUCTION (SCHEME),CRUDE BITUMEN,MEG ENERGY CORP.,11-12-077-05W4,10 June 2022
MEG DD9P HARDY 12-7-77-4,0488752,ALBERTA CROWN,576.5M,1W0/12-07-077-04W4/02  S  498.2M  E,613.2M,BONNYVILLE,1520.0M,DEV (NC),HARDY,MCMURRAY FM,HORIZONTAL,RESUMPTION,PRODUCTION (SCHEME),CRUDE BITUMEN,MEG ENERGY CORP.,11-12-077-05W4,10 June 2022
MEG DD11P HARDY 11-7-77-4,0488754,ALBERTA CROWN,576.4M,106/11-07-077-04W4/02  S  517.8M  E,617.2M,BONNYVILLE,2200.0M,DEV (NC),HARDY,MCMURRAY FM,HORIZONTAL,RESUMPTION,PRODUCTION (SCHEME),CRUDE BITUMEN,MEG ENERGY CORP.,11-12-077-05W4,10 June 2022
CNRL 10D HZ SUGDEN 10-7-63-6,0504604,FREEHOLD,551M,102/10-07-063-06W4/00  S  733.6M  E,671.5M,BONNYVILLE,2170.0M,DEV (NC),SUGDEN,SPARKY MBR,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,CANADIAN NATURAL RESOURCES LIMITED,11-06-063-06W4,10 June 2022
CNRL 11A HZ SUGDEN 11-7-63-6,0504605,FREEHOLD,551M,102/11-07-063-06W4/00  S  733.6M  E,662.5M,BONNYVILLE,2042.0M,DEV (NC),SUGDEN,SPARKY MBR,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,CANADIAN NATURAL RESOURCES LIMITED,11-06-063-06W4,10 June 2022
CNRL 12A HZ SUGDEN 12-7-63-6,0504606,FREEHOLD,551M,100/12-07-063-06W4/00  S  733.6M  E,653.5M,BONNYVILLE,1849.0M,DEV (NC),SUGDEN,SPARKY MBR,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,CANADIAN NATURAL RESOURCES LIMITED,11-06-063-06W4,10 June 2022
CNRL 14D HZ SUGDEN 14-1-63-7,0504607,FREEHOLD,551M,102/14-01-063-07W4/00  S  733.6M  E,576.5M,BONNYVILLE,2072.0M,DEV (NC),SUGDEN,SPARKY MBR,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,CANADIAN NATURAL RESOURCES LIMITED,11-06-063-06W4,10 June 2022
CNRL 2B HZ SUGDEN 2-12-63-7,0504608,FREEHOLD,551M,102/02-12-063-07W4/00  S  733.6M  E,585.5M,BONNYVILLE,1871.0M,DEV (NC),SUGDEN,SPARKY MBR,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,CANADIAN NATURAL RESOURCES LIMITED,11-06-063-06W4,10 June 2022
CNRL 7A HZ SUGDEN 7-12-63-7,0504609,FREEHOLD,551M,100/07-12-063-07W4/00  S  733.6M  E,594.5M,BONNYVILLE,2145.0M,DEV (NC),SUGDEN,SPARKY MBR,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,CANADIAN NATURAL RESOURCES LIMITED,11-06-063-06W4,10 June 2022
CNRL 8D HZ SUGDEN 8-12-63-7,0504610,FREEHOLD,551M,100/08-12-063-07W4/00  S  733.6M  E,644.5M,BONNYVILLE,1798.0M,DEV (NC),SUGDEN,SPARKY MBR,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,CANADIAN NATURAL RESOURCES LIMITED,11-06-063-06W4,10 June 2022
NORTH 40 HZ WAYNE 1-17-28-19,0504611,FREEHOLD,781.4M,100/01-17-028-19W4/00  N  130.0M  W,429.9M,CALGARY,2847.0M,DEV (NC),WAYNE-ROSEDALE,BASAL QUARTZ SD,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,NORTH 40 RESOURCES LTD.,02-20-028-19W4,10 June 2022
KELT EXP HZ WEMBLEY 14-4-74-7,0504612,ALBERTA CROWN,732.7M,100/14-04-074-07W6/00  S  739.4M  W,671.7M,GRANDE PRAIRIE,5600.0M,DEV (C),WEMBLEY,NORDEGG MBR,HORIZONTAL,NEW,PRODUCTION,GAS,KELT EXPLORATION LTD.,10-28-073-07W6,10 June 2022
KELT EXP 102 HZ GRANDPR 14-4-73-7,0504613,ALBERTA CROWN,732.7M,100/14-04-073-07W6/00  S  739.4M  W,656.7M,GRANDE PRAIRIE,5900.0M,DEV (C),GRANDE PRAIRIE,MONTNEY FM,HORIZONTAL,NEW,PRODUCTION,GAS,KELT EXPLORATION LTD.,10-28-073-07W6,10 June 2022
LONGSHORE HZ 106 PROVOST 4-21-39-6,0504614,ALBERTA CROWN,705.9M,106/04-21-039-06W4/00  S  724.7M  W,439.9M,WAINWRIGHT,1885.0M,DEV (NC),PROVOST,DINA MBR,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,LONGSHORE RESOURCES LTD.,10-17-039-06W4,10 June 2022
WOODCOTE OIL HZ DAWSON 8-33-79-16,0504617,ALBERTA CROWN,682M,100/08-33-079-16W5/00  N  265.2M  W,60.0M,SLAVE LAKE,2800.0M,DEV (NC),DAWSON,SPIRIT RIVER FM,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,WOODCOTE OIL & GAS INC.,01-28-079-16W5,10 June 2022
PETRUS HZ FERRIER 15-16-38-8,0504618,ALBERTA CROWN,1123.4M,100/15-16-038-08W5/00  N  704.7M  E,299.5M,RED DEER,4712.0M,DEV (NC),FERRIER,CARDIUM FM,HORIZONTAL,NEW,PRODUCTION,GAS,PETRUS RESOURCES CORP.,05-09-038-08W5,10 June 2022
PETRUS 102 HZ FERRIER 14-21-38-8,0504619,ALBERTA CROWN,1123.2M,102/14-21-038-08W5/00  N  704.4M  E,289.5M,RED DEER,5983.0M,DEV (NC),FERRIER,CARDIUM FM,HORIZONTAL,NEW,PRODUCTION,GAS,PETRUS RESOURCES CORP.,05-09-038-08W5,10 June 2022
